path,number-of-record,catalog
600$a,1628914,loc
600$b,34595,loc
600$c,203406,loc
600$d,1222343,loc
600$g,13,loc
600$m,624,loc
600$t,118391,loc
650$a,9936622,loc
650$c,595,loc
651$a,3215934,loc
653$a,203674,loc
655$a,1525782,loc
600$a,433676,dnb
600$b,8864,dnb
600$c,39799,dnb
600$d,351243,dnb
600$g,292,dnb
600$m,212,dnb
600$t,36496,dnb
650$a,3612054,dnb
651$a,1114929,dnb
653$a,6116045,dnb
655$a,5098603,dnb
600$a,17095,onb
600$b,15,onb
600$c,2072,onb
600$d,486,onb
600$g,210,onb
600$m,1,onb
600$t,262,onb
650$a,165471,onb
650$c,31,onb
651$a,12432,onb
653$a,876910,onb
655$a,1406601,onb
600$a,50696,nfi
600$b,660,nfi
600$c,6748,nfi
600$d,22470,nfi
600$g,1,nfi
600$m,2,nfi
600$t,1708,nfi
650$a,410266,nfi
651$a,166472,nfi
653$a,7378,nfi
655$a,66135,nfi
600$a,517518,libris
600$b,13162,libris
600$c,52495,libris
600$d,351088,libris
600$g,44,libris
600$j,22,libris
600$m,183,libris
600$t,30828,libris
650$a,2600674,libris
650$c,626,libris
651$a,530053,libris
653$a,767016,libris
655$a,534221,libris
600$a,1062552,bnpl
600$b,40950,bnpl
600$c,137169,bnpl
600$d,920884,bnpl
600$g,4,bnpl
600$m,301,bnpl
600$t,222865,bnpl
650$a,4008680,bnpl
650$c,112,bnpl
651$a,1730943,bnpl
653$a,206,bnpl
655$a,3294806,bnpl
600$a,817,kbr
600$b,25,kbr
600$c,348,kbr
600$d,734,kbr
600$t,26,kbr
650$a,549926,kbr
650$c,28,kbr
651$a,6360,kbr
653$a,1002480,kbr
655$a,43736,kbr
600$a,268633,nli
600$b,6765,nli
600$c,40272,nli
600$d,211799,nli
600$g,8,nli
600$m,74,nli
600$t,25733,nli
650$a,1264418,nli
650$c,2,nli
651$a,288379,nli
653$a,14081,nli
655$a,211503,nli
600$a,450387,kb
600$b,20415,kb
600$c,93700,kb
600$d,398212,kb
650$a,3038831,kb
650$c,567,kb
651$a,701844,kb
653$a,6722,kb
655$a,932951,kb
600$a,60782,nkp
600$b,1783,nkp
600$c,7619,nkp
600$d,56324,nkp
600$m,7,nkp
600$t,1823,nkp
650$a,550186,nkp
651$a,162343,nkp
653$a,31224,nkp
655$a,818472,nkp
600$a,155402,oszk
600$b,9809,oszk
600$c,15438,oszk
600$d,144493,oszk
600$g,5160,oszk
600$j,136022,oszk
600$m,255,oszk
600$t,7422,oszk
650$a,613996,oszk
650$c,1213,oszk
651$a,288052,oszk
653$a,1090,oszk
655$a,608402,oszk
